ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y18000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y18000,1793.3000096704784,1483.193605396127,0,1
2,1,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y20000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y20000,1011.5467113139381,1400.2292744917706,0,1
3,1,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y22000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y22000,1031.5257942832718,1030.5001086830475,0,1
4,1,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,484.38284684023563,1098.7911314384296,0,1
4,2,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1226.1574804236661,180.37937223197818,0,2
4,3,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,627.9740620657711,97.40713293191293,0,3
4,4,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,668.5143721633888,194.43267776096823,0,4
4,5,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1870.2811088221474,940.6931825026805,0,5
4,6,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,793.8937131630648,356.49469548133595,0,6
4,7,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1649.840626439429,369.6913864578535,0,7
4,8,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1544.7644464049404,395.60344067048965,0,8
4,9,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1607.442321056289,450.68658790826964,0,9
4,10,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1525.5591971544716,501.2261178861789,0,10
4,11,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y24000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y24000,1040.218441909917,543.0587666731104,0,11
5,1,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,1508.2713997516412,249.20260310490826,0,1
5,2,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,593.8545680126106,1181.2545131629454,0,2
5,3,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,1093.8145512060103,427.8645709766706,0,3
5,4,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,1246.0498845265588,551.5856812933025,0,4
5,5,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,1167.4355042016807,604.1289915966387,0,5
5,6,20170119,file:/hpc/dhl_ec/VirtualSlides/CD66b/_ndpi_tiles/AE1531.UMC.CD66b.20170119/tiles/AE1531.UMC.CD66b.20170119.X10000.Y26000.tile.png,0,AE1531,CD66b,0,UMC,X10000,Y26000,1257.2510254306808,645.4331419196062,0,6
