ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_Xcoord,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,446.05882352941177,707.1960784313726,0,1
1,2,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,696.5471698113207,1116.698113207547,0,2
1,3,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,497.02097902097904,1128.041958041958,0,3
1,4,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,127.765625,1139.203125,0,4
1,5,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,698.7454545454545,1165.1272727272728,0,5
1,6,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,251.0897435897436,1227.9102564102564,0,6
1,7,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,1007.3972602739726,1554.5616438356165,0,7
1,8,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,1078.9137931034484,1609.3620689655172,0,8
1,9,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,819.936507936508,1627.095238095238,0,9
1,10,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,1024.46875,1640.8958333333333,0,10
1,11,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,91.94642857142857,1652.5357142857142,0,11
1,12,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,227.91071428571428,1697.6785714285713,0,12
1,13,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,166.23214285714286,1701.1964285714287,0,13
1,14,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,580.2542372881356,1717.9322033898304,0,14
1,15,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,54.41509433962264,1745.6792452830189,0,15
1,16,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,319.25409836065575,1803.2622950819673,0,16
1,17,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,568.6909090909091,1826.9818181818182,0,17
1,18,20141128,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/CD68/summary/AE9.T02-7170.CD68.20141128.X22000.Y24000.normalized.tile.tissue.png,0,AE9,CD68,0,T02-7170,X22000,Y24000,72.63461538461539,1877.4807692307693,0,18
