ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Y,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1901.084745762712,237.66101694915255,0,1
1,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1981.3142857142857,262.37142857142857,0,2
1,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1863.28125,289.2625,0,3
1,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1960.1842105263158,294.0657894736842,0,4
1,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1946.863387978142,345.327868852459,0,5
1,6,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1981.987341772152,388.22151898734177,0,6
1,7,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1920.7551020408164,425.6734693877551,0,7
1,8,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1761.8402366863904,527.7751479289941,0,8
1,9,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1766.5234375,539.25,0,9
1,10,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/HE/summary/AE1468.UMC.HE_x20_z0.tiles_workflow/AE1468.UMC.HE_x20_z0.X1.Y5.normalized.tile.tissue.png,0,AE1468,HE_x20_z0,0,UMC,X1,Y5,1768.881443298969,567.979381443299,0,10
