Tile	Width	Height	Keep	Row	Column
AE1468.SMA_00	2000	2000	0	0	0
AE1468.SMA_01	2000	2000	0	0	1
AE1468.SMA_02	2000	2000	0	0	2
AE1468.SMA_03	2000	2000	0	0	3
AE1468.SMA_04	2000	2000	0	0	4
AE1468.SMA_05	2000	2000	0	0	5
AE1468.SMA_06	2000	2000	0	0	6
AE1468.SMA_07	2000	2000	0	0	7
AE1468.SMA_08	2000	2000	0	0	8
AE1468.SMA_09	2000	2000	0	0	9
AE1468.SMA_10	632	2000	0	0	10
AE1468.SMA_11	2000	2000	0	1	0
AE1468.SMA_12	2000	2000	0	1	1
AE1468.SMA_13	2000	2000	1	1	2
AE1468.SMA_14	2000	2000	0	1	3
AE1468.SMA_15	2000	2000	0	1	4
AE1468.SMA_16	2000	2000	1	1	5
AE1468.SMA_17	2000	2000	1	1	6
AE1468.SMA_18	2000	2000	1	1	7
AE1468.SMA_19	2000	2000	0	1	8
AE1468.SMA_20	2000	2000	0	1	9
AE1468.SMA_21	632	2000	0	1	10
AE1468.SMA_22	2000	2000	0	2	0
AE1468.SMA_23	2000	2000	0	2	1
AE1468.SMA_24	2000	2000	1	2	2
AE1468.SMA_25	2000	2000	1	2	3
AE1468.SMA_26	2000	2000	0	2	4
AE1468.SMA_27	2000	2000	1	2	5
AE1468.SMA_28	2000	2000	1	2	6
AE1468.SMA_29	2000	2000	1	2	7
AE1468.SMA_30	2000	2000	1	2	8
AE1468.SMA_31	2000	2000	0	2	9
AE1468.SMA_32	632	2000	0	2	10
AE1468.SMA_33	2000	2000	0	3	0
AE1468.SMA_34	2000	2000	0	3	1
AE1468.SMA_35	2000	2000	1	3	2
AE1468.SMA_36	2000	2000	1	3	3
AE1468.SMA_37	2000	2000	1	3	4
AE1468.SMA_38	2000	2000	1	3	5
AE1468.SMA_39	2000	2000	1	3	6
AE1468.SMA_40	2000	2000	1	3	7
AE1468.SMA_41	2000	2000	1	3	8
AE1468.SMA_42	2000	2000	1	3	9
AE1468.SMA_43	632	2000	0	3	10
AE1468.SMA_44	2000	2000	0	4	0
AE1468.SMA_45	2000	2000	1	4	1
AE1468.SMA_46	2000	2000	1	4	2
AE1468.SMA_47	2000	2000	1	4	3
AE1468.SMA_48	2000	2000	1	4	4
AE1468.SMA_49	2000	2000	1	4	5
AE1468.SMA_50	2000	2000	1	4	6
AE1468.SMA_51	2000	2000	1	4	7
AE1468.SMA_52	2000	2000	1	4	8
AE1468.SMA_53	2000	2000	1	4	9
AE1468.SMA_54	632	2000	0	4	10
AE1468.SMA_55	2000	2000	0	5	0
AE1468.SMA_56	2000	2000	1	5	1
AE1468.SMA_57	2000	2000	1	5	2
AE1468.SMA_58	2000	2000	1	5	3
AE1468.SMA_59	2000	2000	1	5	4
AE1468.SMA_60	2000	2000	1	5	5
AE1468.SMA_61	2000	2000	1	5	6
AE1468.SMA_62	2000	2000	1	5	7
AE1468.SMA_63	2000	2000	1	5	8
AE1468.SMA_64	2000	2000	1	5	9
AE1468.SMA_65	632	2000	0	5	10
AE1468.SMA_66	2000	2000	0	6	0
AE1468.SMA_67	2000	2000	0	6	1
AE1468.SMA_68	2000	2000	1	6	2
AE1468.SMA_69	2000	2000	1	6	3
AE1468.SMA_70	2000	2000	1	6	4
AE1468.SMA_71	2000	2000	1	6	5
AE1468.SMA_72	2000	2000	1	6	6
AE1468.SMA_73	2000	2000	1	6	7
AE1468.SMA_74	2000	2000	1	6	8
AE1468.SMA_75	2000	2000	1	6	9
AE1468.SMA_76	632	2000	0	6	10
AE1468.SMA_77	2000	2000	0	7	0
AE1468.SMA_78	2000	2000	0	7	1
AE1468.SMA_79	2000	2000	0	7	2
AE1468.SMA_80	2000	2000	1	7	3
AE1468.SMA_81	2000	2000	1	7	4
AE1468.SMA_82	2000	2000	1	7	5
AE1468.SMA_83	2000	2000	1	7	6
AE1468.SMA_84	2000	2000	1	7	7
AE1468.SMA_85	2000	2000	1	7	8
AE1468.SMA_86	2000	2000	0	7	9
AE1468.SMA_87	632	2000	0	7	10
AE1468.SMA_88	2000	1800	0	8	0
AE1468.SMA_89	2000	1800	0	8	1
AE1468.SMA_90	2000	1800	0	8	2
AE1468.SMA_91	2000	1800	0	8	3
AE1468.SMA_92	2000	1800	0	8	4
AE1468.SMA_93	2000	1800	0	8	5
AE1468.SMA_94	2000	1800	0	8	6
AE1468.SMA_95	2000	1800	0	8	7
AE1468.SMA_96	2000	1800	0	8	8
AE1468.SMA_97	2000	1800	0	8	9
AE1468.SMA_98	632	1800	0	8	10
