ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_TILENR,Metadata_T_NUMBER,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_027.normalized.tile.tissue.png,0,AE4780,SMA,0,027,,301.4003613918383,1107.7157637200971,0,1
1,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_027.normalized.tile.tissue.png,0,AE4780,SMA,0,027,,721.4087281795511,445.316957605985,0,2
1,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_027.normalized.tile.tissue.png,0,AE4780,SMA,0,027,,92.52847647595465,519.6062166036752,0,3
2,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_028.normalized.tile.tissue.png,0,AE4780,SMA,0,028,,1393.6110891402357,1716.3503082629456,0,1
2,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_028.normalized.tile.tissue.png,0,AE4780,SMA,0,028,,1917.1779842744818,1745.6304503216584,0,2
2,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_028.normalized.tile.tissue.png,0,AE4780,SMA,0,028,,1796.7723486587524,1895.0143634813405,0,3
2,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_028.normalized.tile.tissue.png,0,AE4780,SMA,0,028,,1449.9779834876158,1918.525644233175,0,4
2,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_028.normalized.tile.tissue.png,0,AE4780,SMA,0,028,,1284.4233825198637,1979.2082860385924,0,5
3,1,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,1018.2579561128526,1343.0304409613375,0,1
3,2,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,767.1152400835073,1484.9231732776618,0,2
3,3,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,1712.1517207949587,1516.9515269025692,0,3
3,4,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,465.9359385009609,1560.1960281870595,0,4
3,5,nan,file:/Users/slaan3/git/swvanderlaan/slideToolKit/upgrade_study/SMA/AE4780.SMA/AE4780.SMA.tiles/AE4780.SMA_029.normalized.tile.tissue.png,0,AE4780,SMA,0,029,,1414.3222308288148,1580.596436870643,0,5
