ImageNumber,ObjectNumber,Metadata_Date,Metadata_DateTime,Metadata_FileLocation,Metadata_Frame,Metadata_NR,Metadata_STAIN,Metadata_Series,Metadata_T_NUMBER,Metadata_X,Metadata_Xcoord,Metadata_Y,Metadata_Ycoord,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,58.63623978201635,363.04632152588556,0,1
1,2,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1903.0910973084885,394.1035196687371,0,2
1,3,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,115.92113095238095,402.61607142857144,0,3
1,4,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,39.88939393939394,417.9651515151515,0,4
1,5,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1934.453125,469.02734375,0,5
1,6,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,1916.7021996615906,474.64128595600675,0,6
1,7,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,180.73497688751925,473.73343605546995,0,7
1,8,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,278.5366726296959,504.47227191413236,0,8
1,9,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,269.61323155216286,527.9669211195928,0,9
1,10,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,448.6721991701245,574.99377593361,0,10
1,11,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,286.35858585858585,572.469696969697,0,11
1,12,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,388.5739644970414,575.9378698224853,0,12
1,13,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,257.1445497630332,616.4502369668246,0,13
1,14,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,374.3389121338912,607.5983263598326,0,14
1,15,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,226.43627450980392,630.1323529411765,0,15
1,16,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,485.2681992337165,631.3409961685824,0,16
1,17,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,467.3590909090909,664.8818181818182,0,17
1,18,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,135.15831134564644,672.5145118733509,0,18
1,19,nan,2017-12-23_00.46.16,file:/Users/tpeters4/Desktop/CellProfiler%20upgrade_study/SR/summary/AE11.T02-7271.SR.2017-12-23_00.46.16.X2000.Y12000.normalized.tile.tissue.png,0,AE11,SR,0,T02-7271,nan,X2000,nan,Y12000,510.14942528735634,712.8781609195403,0,19
